ip,status,hostname,mac,vendor,latency_ms,ttl,os_hint,open_ports,scanned_at
10.80.80.116,dead,,,,-1.0,-1,,,2026-04-09T17:33:32.020278
10.80.80.135,dead,,,,-1.0,-1,,,2026-04-09T17:33:32.035272
10.80.80.117,dead,,,,-1.0,-1,,,2026-04-09T17:33:32.020398
10.80.80.147,dead,,,,-1.0,-1,,,2026-04-09T17:33:32.038865
10.80.80.145,dead,,,,-1.0,-1,,,2026-04-09T17:33:32.038050
10.80.80.140,dead,,,,-1.0,-1,,,2026-04-09T17:33:32.036420
10.80.80.151,dead,,,,-1.0,-1,,,2026-04-09T17:33:32.042728
10.80.80.130,dead,,,,-1.0,-1,,,2026-04-09T17:33:32.032722
10.80.80.133,dead,,,,-1.0,-1,,,2026-04-09T17:33:32.034440
10.80.80.149,dead,,,,-1.0,-1,,,2026-04-09T17:33:32.041236
10.80.80.143,dead,,,,-1.0,-1,,,2026-04-09T17:33:32.037210
10.80.80.160,dead,,,,-1.0,-1,,,2026-04-09T17:33:32.481635
10.80.80.167,dead,,,,-1.0,-1,,,2026-04-09T17:33:32.983518
10.80.80.161,dead,,,,-1.0,-1,,,2026-04-09T17:33:32.977090
10.80.80.190,dead,,,,-1.0,-1,,,2026-04-09T17:33:33.008597
10.80.80.172,dead,,,,-1.0,-1,,,2026-04-09T17:33:32.985916
10.80.80.162,dead,,,,-1.0,-1,,,2026-04-09T17:33:32.977273
10.80.80.169,dead,,,,-1.0,-1,,,2026-04-09T17:33:32.984773
10.80.80.192,dead,,,,-1.0,-1,,,2026-04-09T17:33:33.024353
10.80.80.166,dead,,,,-1.0,-1,,,2026-04-09T17:33:32.982674
10.80.80.170,dead,,,,-1.0,-1,,,2026-04-09T17:33:32.984923
10.80.80.175,dead,,,,-1.0,-1,,,2026-04-09T17:33:32.986608
10.80.80.189,dead,,,,-1.0,-1,,,2026-04-09T17:33:33.007245
10.80.80.168,dead,,,,-1.0,-1,,,2026-04-09T17:33:32.984429
